ZIP,CARRIER,LOCALITY,STATE,RURAL
99761,02102,01,AK,B
99762,02102,01,AK,B
99763,02102,01,AK,B
99764,02102,01,AK,B
99765,02102,01,AK,B
99766,02102,01,AK,B
99767,02102,01,AK,B
99768,02102,01,AK,B
99769,02102,01,AK,B
99770,02102,01,AK,B
99771,02102,01,AK,B
99772,02102,01,AK,B
99773,02102,01,AK,B
99774,02102,01,AK,B
99775,02102,01,AK,B
99776,02102,01,AK,B
99777,02102,01,AK,B
99778,02102,01,AK,B
99779,02102,01,AK,B
99780,02102,01,AK,B
99781,02102,01,AK,B
99782,02102,01,AK,B
99783,02102,01,AK,B
99784,02102,01,AK,B
99785,02102,01,AK,B
99786,02102,01,AK,B
99788,02102,01,AK,B
99789,02102,01,AK,B
99790,02102,01,AK,B
99791,02102,01,AK,B
99801,02102,01,AK,B
99802,02102,01,AK,B
99803,02102,01,AK,B
99811,02102,01,AK,B
99812,02102,01,AK,B
99820,02102,01,AK,R
99821,02102,01,AK,B
99824,02102,01,AK,B
99825,02102,01,AK,R
99826,02102,01,AK,R
99827,02102,01,AK,B
99829,02102,01,AK,R
99830,02102,01,AK,R
99832,02102,01,AK,R
99833,02102,01,AK,R
99835,02102,01,AK,B
99836,02102,01,AK,B
99840,02102,01,AK,R
99841,02102,01,AK,R
99850,02102,01,AK,B
99901,02102,01,AK,B
99903,02102,01,AK,R
99918,02102,01,AK,R
99919,02102,01,AK,R
99921,02102,01,AK,R
99922,02102,01,AK,R
99923,02102,01,AK,R
99925,02102,01,AK,R
99926,02102,01,AK,R
99927,02102,01,AK,R
99928,02102,01,AK,B
99929,02102,01,AK,R
99950,02102,01,AK,B
35004,10112,00,AL,U
35005,10112,00,AL,U
35006,10112,00,AL,U
35007,10112,00,AL,U
35010,10112,00,AL,R
35011,10112,00,AL,R
35013,10112,00,AL,R
35014,10112,00,AL,R
35015,10112,00,AL,U
35016,10112,00,AL,R
35019,10112,00,AL,R
35020,10112,00,AL,U
35021,10112,00,AL,U
35022,10112,00,AL,U
35023,10112,00,AL,U
35031,10112,00,AL,U
35032,10112,00,AL,R
35033,10112,00,AL,R
35034,10112,00,AL,U
35035,10112,00,AL,U
35036,10112,00,AL,U
35038,10112,00,AL,R
35040,10112,00,AL,U
35041,10112,00,AL,U
35042,10112,00,AL,U
35043,10112,00,AL,U
35044,10112,00,AL,R
35045,10112,00,AL,R
35046,10112,00,AL,R
35048,10112,00,AL,U
35049,10112,00,AL,U
35051,10112,00,AL,U
35052,10112,00,AL,U
35053,10112,00,AL,R
35054,10112,00,AL,R
35055,10112,00,AL,R
35056,10112,00,AL,R
35057,10112,00,AL,R
35058,10112,00,AL,R
35060,10112,00,AL,U
35061,10112,00,AL,U
35062,10112,00,AL,U
35063,10112,00,AL,R
35064,10112,00,AL,U
35068,10112,00,AL,U
35070,10112,00,AL,R
35071,10112,00,AL,U
35072,10112,00,AL,B
35073,10112,00,AL,U
35074,10112,00,AL,U
35077,10112,00,AL,R
35078,10112,00,AL,U
35079,10112,00,AL,U
35080,10112,00,AL,U
35082,10112,00,AL,B
35083,10112,00,AL,R
35085,10112,00,AL,U
35087,10112,00,AL,R
35089,10112,00,AL,B
35091,10112,00,AL,U
35094,10112,00,AL,U
35096,10112,00,AL,R
35097,10112,00,AL,U
35098,10112,00,AL,R
35111,10112,00,AL,U
35112,10112,00,AL,U
35114,10112,00,AL,U
35115,10112,00,AL,U
35116,10112,00,AL,U
35117,10112,00,AL,U
35118,10112,00,AL,U
35119,10112,00,AL,U
35120,10112,00,AL,U
35121,10112,00,AL,R
35123,10112,00,AL,U
35124,10112,00,AL,U
35125,10112,00,AL,R
35126,10112,00,AL,U
35127,10112,00,AL,U
35128,10112,00,AL,R
35130,10112,00,AL,R
35131,10112,00,AL,U
35133,10112,00,AL,U
35135,10112,00,AL,R
35136,10112,00,AL,B
35137,10112,00,AL,U
35139,10112,00,AL,U
35142,10112,00,AL,U
35143,10112,00,AL,U
35144,10112,00,AL,U
35146,10112,00,AL,U
35147,10112,00,AL,U
35148,10112,00,AL,R
35149,10112,00,AL,R
35150,10112,00,AL,R
35151,10112,00,AL,R
35160,10112,00,AL,R
35161,10112,00,AL,R
35171,10112,00,AL,U
35172,10112,00,AL,U
35173,10112,00,AL,U
35175,10112,00,AL,R
35176,10112,00,AL,U
35178,10112,00,AL,U
35179,10112,00,AL,R
35180,10112,00,AL,U
35181,10112,00,AL,U
35182,10112,00,AL,R
35183,10112,00,AL,B
35184,10112,00,AL,U
35185,10112,00,AL,U
35186,10112,00,AL,U
35187,10112,00,AL,U
35188,10112,00,AL,U
35201,10112,00,AL,U
35202,10112,00,AL,U
35203,10112,00,AL,U
35204,10112,00,AL,U
35205,10112,00,AL,U
35206,10112,00,AL,U
35207,10112,00,AL,U
35208,10112,00,AL,U
35209,10112,00,AL,U
35210,10112,00,AL,U
35211,10112,00,AL,U
35212,10112,00,AL,U
35213,10112,00,AL,U
35214,10112,00,AL,U
35215,10112,00,AL,U
35216,10112,00,AL,U
35217,10112,00,AL,U
35218,10112,00,AL,U
35219,10112,00,AL,U
35220,10112,00,AL,U
35221,10112,00,AL,U
35222,10112,00,AL,U
35223,10112,00,AL,U
35224,10112,00,AL,U
35225,10112,00,AL,U
35226,10112,00,AL,U
35228,10112,00,AL,U
35229,10112,00,AL,U
35230,10112,00,AL,U
35231,10112,00,AL,U
35232,10112,00,AL,U
35233,10112,00,AL,U
35234,10112,00,AL,U
35235,10112,00,AL,U
35236,10112,00,AL,U
35237,10112,00,AL,U
35238,10112,00,AL,U
35240,10112,00,AL,U
35242,10112,00,AL,U
35243,10112,00,AL,U
35244,10112,00,AL,U
35245,10112,00,AL,U
35246,10112,00,AL,U
35249,10112,00,AL,U
35253,10112,00,AL,U
35254,10112,00,AL,U
35255,10112,00,AL,U
35259,10112,00,AL,U
35260,10112,00,AL,U
35261,10112,00,AL,U
35263,10112,00,AL,U
35266,10112,00,AL,U
35270,10112,00,AL,U
35277,10112,00,AL,U
35278,10112,00,AL,U
35279,10112,00,AL,U
35280,10112,00,AL,U
35281,10112,00,AL,U
35282,10112,00,AL,U
35283,10112,00,AL,U
35285,10112,00,AL,U
35286,10112,00,AL,U
35287,10112,00,AL,U
35288,10112,00,AL,U
35289,10112,00,AL,U
35290,10112,00,AL,U
35291,10112,00,AL,U
35292,10112,00,AL,U
35293,10112,00,AL,U
35294,10112,00,AL,U
35295,10112,00,AL,U
35296,10112,00,AL,U
35297,10112,00,AL,U
35298,10112,00,AL,U
35299,10112,00,AL,U
35401,10112,00,AL,U
35402,10112,00,AL,U
35403,10112,00,AL,U
35404,10112,00,AL,U
35405,10112,00,AL,U
35406,10112,00,AL,U
35407,10112,00,AL,U
35440,10112,00,AL,U
35441,10112,00,AL,B
35442,10112,00,AL,B
35443,10112,00,AL,B
35444,10112,00,AL,U
35446,10112,00,AL,U
35447,10112,00,AL,B
35448,10112,00,AL,B
35449,10112,00,AL,U
35452,10112,00,AL,U
35453,10112,00,AL,U
35456,10112,00,AL,U
35457,10112,00,AL,U
35458,10112,00,AL,U
35459,10112,00,AL,B
35460,10112,00,AL,B
35461,10112,00,AL,B
35462,10112,00,AL,B
35463,10112,00,AL,U
35464,10112,00,AL,B
35466,10112,00,AL,B
35468,10112,00,AL,U
35469,10112,00,AL,B
35470,10112,00,AL,B
35471,10112,00,AL,B
35473,10112,00,AL,U
35474,10112,00,AL,B
35475,10112,00,AL,U
35476,10112,00,AL,U
35477,10112,00,AL,B
35478,10112,00,AL,U
35480,10112,00,AL,U
35481,10112,00,AL,B
35482,10112,00,AL,U
35485,10112,00,AL,U
35486,10112,00,AL,U
35487,10112,00,AL,U
35490,10112,00,AL,U
35491,10112,00,AL,B
35501,10112,00,AL,R
35502,10112,00,AL,R
35503,10112,00,AL,R
35504,10112,00,AL,R
35540,10112,00,AL,R
35541,10112,00,AL,R
35542,10112,00,AL,R
35543,10112,00,AL,R
35544,10112,00,AL,B
35545,10112,00,AL,R
35546,10112,00,AL,R
35548,10112,00,AL,R
35549,10112,00,AL,R
35550,10112,00,AL,R
35551,10112,00,AL,R
35552,10112,00,AL,B
35553,10112,00,AL,R
35554,10112,00,AL,R
35555,10112,00,AL,R
35559,10112,00,AL,R
35560,10112,00,AL,R
35563,10112,00,AL,R
35564,10112,00,AL,R
35565,10112,00,AL,R
35570,10112,00,AL,R
35571,10112,00,AL,R
35572,10112,00,AL,R
35573,10112,00,AL,R
35574,10112,00,AL,B
35575,10112,00,AL,R
35576,10112,00,AL,B
35577,10112,00,AL,R
35578,10112,00,AL,R
35579,10112,00,AL,R
35580,10112,00,AL,R
35581,10112,00,AL,R
35582,10112,00,AL,R
35584,10112,00,AL,R
35585,10112,00,AL,R
35586,10112,00,AL,B
35587,10112,00,AL,R
35592,10112,00,AL,B
35593,10112,00,AL,R
35594,10112,00,AL,R
35601,10112,00,AL,U
35602,10112,00,AL,U
35603,10112,00,AL,U
35609,10112,00,AL,U
35610,10112,00,AL,U
35611,10112,00,AL,R
35612,10112,00,AL,R
35613,10112,00,AL,U
35614,10112,00,AL,R
35615,10112,00,AL,U
35616,10112,00,AL,U
35617,10112,00,AL,U
35618,10112,00,AL,U
35619,10112,00,AL,U
35620,10112,00,AL,R
35621,10112,00,AL,R
35622,10112,00,AL,U
35630,10112,00,AL,U
35631,10112,00,AL,U
35632,10112,00,AL,U
35633,10112,00,AL,U
35634,10112,00,AL,U
35640,10112,00,AL,U
35643,10112,00,AL,U
35645,10112,00,AL,U
35646,10112,00,AL,U
35647,10112,00,AL,R
35648,10112,00,AL,U
35649,10112,00,AL,U
35650,10112,00,AL,U
35651,10112,00,AL,U
35652,10112,00,AL,U
35653,10112,00,AL,R
35654,10112,00,AL,R
35660,10112,00,AL,U
35661,10112,00,AL,U
35662,10112,00,AL,U
35670,10112,00,AL,U
35671,10112,00,AL,R
35672,10112,00,AL,U
35673,10112,00,AL,U
35674,10112,00,AL,U
35677,10112,00,AL,U
35699,10112,00,AL,U
35739,10112,00,AL,U
35740,10112,00,AL,R
35741,10112,00,AL,U
35742,10112,00,AL,U
35744,10112,00,AL,R
35745,10112,00,AL,R
35746,10112,00,AL,R
35747,10112,00,AL,R
35748,10112,00,AL,U
35749,10112,00,AL,U
35750,10112,00,AL,U
35751,10112,00,AL,R
35752,10112,00,AL,R
35754,10112,00,AL,U
35755,10112,00,AL,R
35756,10112,00,AL,U
35757,10112,00,AL,U
35758,10112,00,AL,U
35759,10112,00,AL,U
35760,10112,00,AL,U
35761,10112,00,AL,U
35762,10112,00,AL,U
35763,10112,00,AL,U
35764,10112,00,AL,R
35765,10112,00,AL,R
35766,10112,00,AL,R
35767,10112,00,AL,U
35768,10112,00,AL,R
35769,10112,00,AL,R
35771,10112,00,AL,R
35772,10112,00,AL,R
35773,10112,00,AL,U
35774,10112,00,AL,R
35775,10112,00,AL,U
35776,10112,00,AL,R
35801,10112,00,AL,U
35802,10112,00,AL,U
35803,10112,00,AL,U
35804,10112,00,AL,U
35805,10112,00,AL,U
35806,10112,00,AL,U
35807,10112,00,AL,U
35808,10112,00,AL,U
35809,10112,00,AL,U
35810,10112,00,AL,U
35811,10112,00,AL,U
35812,10112,00,AL,U
35813,10112,00,AL,U
35814,10112,00,AL,U
35815,10112,00,AL,U
35816,10112,00,AL,U
35824,10112,00,AL,U
35893,10112,00,AL,U
35894,10112,00,AL,U
35895,10112,00,AL,U
35896,10112,00,AL,U
35897,10112,00,AL,U
35898,10112,00,AL,U
35899,10112,00,AL,U
35901,10112,00,AL,U
35902,10112,00,AL,U
35903,10112,00,AL,U
35904,10112,00,AL,U
35905,10112,00,AL,U
35906,10112,00,AL,U
35907,10112,00,AL,U
35950,10112,00,AL,R
35951,10112,00,AL,R
35952,10112,00,AL,U
35953,10112,00,AL,U
35954,10112,00,AL,U
35956,10112,00,AL,R
35957,10112,00,AL,R
35958,10112,00,AL,R
35959,10112,00,AL,R
35960,10112,00,AL,R
35961,10112,00,AL,R
35962,10112,00,AL,R
35963,10112,00,AL,R
35964,10112,00,AL,R
35966,10112,00,AL,R
35967,10112,00,AL,R
35968,10112,00,AL,R
35971,10112,00,AL,R
35972,10112,00,AL,U
35973,10112,00,AL,R
35974,10112,00,AL,R
35975,10112,00,AL,R
35976,10112,00,AL,R
35978,10112,00,AL,R
35979,10112,00,AL,R
35980,10112,00,AL,R
35981,10112,00,AL,R
35983,10112,00,AL,R
35984,10112,00,AL,R
